class,class_index,snr_db,full,causal,local
PAM4,6,-2.0,0.3207418918609619,0.3336530923843384,0.34560492634773254
PAM4,6,0.0,0.32582131028175354,0.33327797055244446,0.34090083837509155
PAM4,6,2.0,0.3302135467529297,0.33291104435920715,0.3368755280971527
PAM4,6,4.0,0.333988755941391,0.3324018120765686,0.3336094617843628
PAM4,6,6.0,0.33560511469841003,0.3319811224937439,0.3324139416217804
PAM4,6,8.0,0.33530327677726746,0.33203914761543274,0.33265745639801025
PAM4,6,10.0,0.335947185754776,0.33209750056266785,0.3319553732872009
PAM4,6,12.0,0.33735454082489014,0.3319839835166931,0.3306616246700287
PAM4,6,14.0,0.336700975894928,0.3320213556289673,0.33127740025520325
PAM4,6,16.0,0.33755728602409363,0.3320268988609314,0.330415815114975
PAM4,6,18.0,0.33678168058395386,0.3320634365081787,0.33115482330322266
QAM16,7,-6.0,0.3379659950733185,0.33376529812812805,0.328268826007843
QAM16,7,-4.0,0.3257807791233063,0.33778858184814453,0.33643069863319397
QAM16,7,-2.0,0.32131317257881165,0.33860278129577637,0.34008410573005676
QAM16,7,0.0,0.3209334909915924,0.3384867012500763,0.3405799865722656
QAM16,7,2.0,0.32274189591407776,0.33870038390159607,0.33855751156806946
QAM16,7,4.0,0.3244932293891907,0.3387640714645386,0.3367428481578827
QAM16,7,6.0,0.3262624442577362,0.33865588903427124,0.33508166670799255
QAM16,7,8.0,0.32559719681739807,0.3388240337371826,0.3355787992477417
QAM16,7,10.0,0.3269146978855133,0.33874890208244324,0.33433645963668823
QAM16,7,12.0,0.32956671714782715,0.3380533456802368,0.3323797881603241
QAM16,7,14.0,0.3289846181869507,0.33824244141578674,0.332772821187973
QAM16,7,16.0,0.3279920518398285,0.33844393491744995,0.33356398344039917
QAM16,7,18.0,0.32888633012771606,0.33832722902297974,0.3327862024307251
QAM64,8,-6.0,0.3206482231616974,0.3375796973705292,0.3417719900608063
QAM64,8,-4.0,0.3210958242416382,0.33724117279052734,0.34166285395622253
QAM64,8,-2.0,0.32334068417549133,0.3364368677139282,0.3402225375175476
QAM64,8,0.0,0.3258863091468811,0.3360806703567505,0.33803310990333557
QAM64,8,2.0,0.32642537355422974,0.33610987663269043,0.3374647796154022
QAM64,8,4.0,0.3275429904460907,0.3357734978199005,0.3366834223270416
QAM64,8,6.0,0.3287883400917053,0.33560121059417725,0.3356103003025055
QAM64,8,8.0,0.32870644330978394,0.33558204770088196,0.3357115685939789
QAM64,8,10.0,0.3291241526603699,0.3357023596763611,0.33517348766326904
QAM64,8,12.0,0.3294638693332672,0.3355739712715149,0.3349621891975403
QAM64,8,14.0,0.32936713099479675,0.3356741964817047,0.3349585235118866
QAM64,8,16.0,0.32881370186805725,0.3357042670249939,0.33548206090927124
QAM64,8,18.0,0.3276406228542328,0.3360031843185425,0.33635619282722473
QPSK,9,-6.0,0.3293684124946594,0.33294564485549927,0.3376859724521637
QPSK,9,-4.0,0.3303212821483612,0.3324238955974579,0.3372548222541809
QPSK,9,-2.0,0.3383985459804535,0.332876980304718,0.3287242650985718
QPSK,9,0.0,0.3468329608440399,0.33438313007354736,0.3187841475009918
QPSK,9,2.0,0.35538700222969055,0.3349727988243103,0.30964013934135437
QPSK,9,4.0,0.35662519931793213,0.33517318964004517,0.3082016408443451
QPSK,9,6.0,0.35524043440818787,0.3356603980064392,0.3090989887714386
QPSK,9,8.0,0.3552550971508026,0.3358668088912964,0.30887818336486816
QPSK,9,10.0,0.35346993803977966,0.33643031120300293,0.3100995421409607
QPSK,9,12.0,0.35405755043029785,0.3359505832195282,0.3099919557571411
QPSK,9,14.0,0.35384681820869446,0.3362495005130768,0.3099035918712616
QPSK,9,16.0,0.35352233052253723,0.3363468050956726,0.310130774974823
QPSK,9,18.0,0.3533409833908081,0.33637458086013794,0.31028440594673157
WBFM,10,-6.0,0.33619073033332825,0.3254646360874176,0.33834460377693176
WBFM,10,-4.0,0.3313096761703491,0.32678309082984924,0.3419071435928345
WBFM,10,-2.0,0.3329581916332245,0.3262270390987396,0.34081462025642395
WBFM,10,0.0,0.33615565299987793,0.3259370028972626,0.3379073441028595
WBFM,10,2.0,0.33581870794296265,0.3258086144924164,0.33837267756462097
WBFM,10,4.0,0.3358686566352844,0.3260289430618286,0.33810222148895264
WBFM,10,6.0,0.33453378081321716,0.3265441060066223,0.3389219641685486
WBFM,10,8.0,0.33414217829704285,0.3267287015914917,0.3391290009021759
WBFM,10,10.0,0.33361998200416565,0.3271317183971405,0.33924829959869385
WBFM,10,12.0,0.3342621624469757,0.32705390453338623,0.3386838436126709
WBFM,10,14.0,0.33501189947128296,0.32716310024261475,0.33782491087913513
WBFM,10,16.0,0.33545395731925964,0.3273051977157593,0.33724120259284973
WBFM,10,18.0,0.3359348773956299,0.3276096284389496,0.33645591139793396
